"","inds","deps","slopes","intersects","sps","ips"
"41","Thermomonosporaceae","Tsukamurellaceae",0.227619579355288,1.04674816631968,0.000423767155434684,3.94410330362398e-07
"42","Coxiellaceae","Tsukamurellaceae",0.245728611781258,3.80763578064033,0.031172696118353,9.36935512885096e-07
"43","Pyrodictiaceae","Tsukamurellaceae",0.0432728796852511,0.0669802418618036,0.00151287644176368,3.74435937812209e-05
"44","Aerococcaceae","Tsukamurellaceae",0.16915239452243,0.139153503553525,0.000153771058278447,2.4810716134714e-05
"45","Synergistaceae","Tsukamurellaceae",0.242321686019915,1.54484190622239,0.032637595120837,1.41755362950277e-05
"46","Erysipelotrichaceae","Clostridiales_Family_XII._Incertae_Sedis",1.55362969014577,5.47238731278779,0.0479908656299182,2.21294200038007e-06
"47","Jonesiaceae","Clostridiales_Family_XII._Incertae_Sedis",0.523378387715569,2.17923944123886,0.0473155477177868,9.42305150492948e-07
"48","Deinococcaceae","Clostridiales_Family_XII._Incertae_Sedis",0.397893925895672,2.43097819370304,0.0458246275635866,1.32638089547173e-07
"49","Clostridiales_Family_XVIII._Incertae_Sedis","Luteoviridae",-0.773764358102644,4.54848921042186,0.0382772344569755,0.00376391839096904
"50","Halomonadaceae","Luteoviridae",0.290428906040715,1.599074525978,0.00861828197202775,0.00090376901082648
"51","Elusimicrobiaceae","Luteoviridae",0.857625094110253,2.04699223454558,0.00535812779826431,0.00129611453318069
"52","Desulfobacteraceae","Luteoviridae",-0.154893701652748,5.86821370919252,0.0242040904344734,0.000369033044157383
"53","Bacillaceae","Luteoviridae",-0.486915324423221,10.3823519145756,0.00275164944770046,7.4506279635238e-05
"54","Methanospirillaceae","Luteoviridae",0.176506058256814,1.04850081307212,0.0204892036766083,0.00199206666504836
"55","Aerococcaceae","Luteoviridae",0.285340143144161,0.0589310395951333,0.0234346984794915,0.065311005973529
"56","Psychromonadaceae","Luteoviridae",0.958316896328703,2.29785305215435,0.0224174346980364,0.00539984532725941
"57","Clostridiales_Family_XIV._Incertae_Sedis","Luteoviridae",0.0694847168195572,0.0808152040881587,0.0353249804538281,0.0175490471996903
"58","Acetobacteraceae","Luteoviridae",0.943913840359084,4.79173942961951,0.0042170527411577,0.000479616191225529
"59","Rikenellaceae","Luteoviridae",1.47988012329362,6.23942844075246,0.0286736005374482,0.00392908688089061
"60","Alteromonadaceae","Reoviridae",0.231708785707006,4.23762398168478,0.00315812349344174,9.18432267098916e-10
"61","Acidothermaceae","Reoviridae",0.125794346223179,1.3985625621309,0.0149641634741285,3.89277665536109e-08
"62","Cyclobacteriaceae","Reoviridae",0.0504563780314998,0.0334595243245329,0.0145164321634821,0.00257418079934813
"63","Planctomycetaceae","Reoviridae",0.317934118405351,1.91878560890656,0.0446750672708186,1.80060121288604e-06
"64","Acholeplasmataceae","Reoviridae",-0.719473478175359,3.37490622296847,0.037147940352197,3.83467535640604e-06
"65","Thermaceae","Reoviridae",0.25811736975227,2.87377927577537,0.012885745852538,3.24212629820775e-08
"66","Prochlorococcaceae","Anaeroplasmataceae",1.14301769265411,4.09427935489696,0.0115223597022273,3.02123451745215e-09
"67","Potyviridae","Anaeroplasmataceae",0.752203272083023,0.180565697160886,0.00335941331450127,0.0165670619594018
"68","Clostridiales_Family_XIV._Incertae_Sedis","Anaeroplasmataceae",0.274067870521276,0.116377040609838,0.00594233570365373,0.00163593549550991
"69","Spirochaetaceae","Anaeroplasmataceae",1.73160638949513,4.64675434702931,0.0480807365941854,2.54311313686388e-07
"70","Asfarviridae","Anaeroplasmataceae",0.229825090328317,0.0534707582475829,0.0064148592512675,0.0316842992245392
"71","Cellulomonadaceae","Nitrospinaceae",1.08901100702091,0.717424356690249,0.0353871117817401,0.00415518841737763
"72","Aeromonadaceae","Rhodobiaceae",0.421962631417345,4.92358831596288,0.0276439029953988,0.00136868467696131
"73","Psychromonadaceae","Rhodobiaceae",0.460619619845979,2.52699989161425,0.0239797407596588,0.00252478413527905
